RAINFALL AMOUNT (mm),WATERLEVEL (m),WATERLEVEL MSL (m),Date
0.003472222222222222,-0.05201388888888889,-8.302013888888888,2020-06-11
0.003472222222222222,-0.05201388888888889,-8.302013888888888,2020-06-12
0.003472222222222222,-0.05201388888888889,-8.302013888888888,2020-06-13
0.003472222222222222,-0.05201388888888889,-8.302013888888888,2020-06-14
0.003472222222222222,-0.05201388888888889,-8.302013888888888,2020-06-15
0.003472222222222222,-0.05201388888888889,-8.302013888888888,2020-06-16
0.003472222222222222,-0.05201388888888889,-8.302013888888888,2020-06-17
0.003472222222222222,-0.05201388888888889,-8.302013888888888,2020-06-18
0.003472222222222222,-0.05201388888888889,-8.302013888888888,2020-06-19
0.003472222222222222,-0.05201388888888889,-8.302013888888888,2020-06-20
0.003472222222222222,-0.05201388888888889,-8.302013888888888,2020-06-21
0.003472222222222222,-0.05201388888888889,-8.302013888888888,2020-06-22
0.003472222222222222,-0.05201388888888889,-8.302013888888888,2020-06-23
0.003472222222222222,-0.05201388888888889,-8.302013888888888,2020-06-24
0.003472222222222222,-0.05201388888888889,-8.302013888888888,2020-06-25
0.003472222222222222,-0.05201388888888889,-8.302013888888888,2020-06-26
0.003472222222222222,-0.05201388888888889,-8.302013888888888,2020-06-27
0.003472222222222222,-0.05201388888888889,-8.302013888888888,2020-06-28
0.003472222222222222,-0.05201388888888889,-8.302013888888888,2020-06-29
0.003472222222222222,-0.05201388888888889,-8.302013888888888,2020-06-30
0.0,0.10240875912408759,-8.147591240875913,2020-07-01
0.0,0.20708333333333334,-8.042916666666667,2020-07-02
0.006944444444444444,0.27069444444444446,-7.979305555555555,2020-07-03
0.0,0.1292622950819672,-8.120737704918033,2020-07-04
0.11805555555555555,0.26881944444444444,-7.9811805555555555,2020-07-05
0.09375,0.20194444444444445,-8.048055555555557,2020-07-06
0.0,0.18534722222222222,-8.064652777777777,2020-07-07
0.0625,0.37916666666666665,-7.870833333333334,2020-07-08
0.0,0.30256944444444445,-7.947430555555556,2020-07-09
0.22569444444444445,0.3829166666666667,-7.8670833333333325,2020-07-10
0.013888888888888888,-0.09958333333333333,-8.349583333333333,2020-07-11
0.013888888888888888,-0.09958333333333333,-8.349583333333333,2020-07-12
0.013888888888888888,-0.09958333333333333,-8.349583333333333,2020-07-13
0.013888888888888888,-0.09958333333333333,-8.349583333333333,2020-07-14
0.013888888888888888,-0.09958333333333333,-8.349583333333333,2020-07-15
0.013888888888888888,-0.09958333333333333,-8.349583333333333,2020-07-16
0.013888888888888888,-0.09958333333333333,-8.349583333333333,2020-07-17
